Title,Book category,Star rating,Price,Stock,Quantity
Private Paris (Private #10),Fiction,Five,47.61,Out of stock,0
#HigherSelfie Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,Five,23.11,Out of stock,0
When We Collided,Contemporary,One,31.77,Out of stock,0
"We Love You, Charlie Freeman",Fiction,Five,50.27,In stock,16
Untitled Collection Sabbath Poems 2014,Poetry,Four,14.27,In stock,16
"Unseen City The Majesty of Pigeons, the Discreet Charm of Snails  Other Wonders of the Urban Wilderness",Nonfiction,Four,44.18,Out of stock,0
Unicorn Tracks,Fantasy,Three,18.78,In stock,16
"Unbound How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,One,25.52,In stock,16
Tsubasa WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,One,16.28,Out of stock,0
Throwing Rocks at the Google Bus How Growth Became the Enemy of Prosperity,Nonfiction,Three,31.12,In stock,16
This One Summer,Sequential Art,Four,19.49,In stock,16
Thirst,Fiction,Five,17.27,In stock,16
The Secret of Dreadwillow Carse,Childrens,One,56.13,Out of stock,0
"The Pioneer Woman Cooks Dinnertime Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,One,56.41,In stock,16
The Past Never Ends,Mystery,Four,56.5,In stock,16
The Nameless City (The Nameless City #1),Sequential Art,Four,38.16,In stock,16
The Murder That Never Was (Forensic Instincts #5),Fiction,Three,54.11,Out of stock,0
The Most Perfect Thing Inside (and Outside) a Bird's Egg,Science,Four,42.96,Out of stock,0
The Life-Changing Magic of Tidying Up The Japanese Art of Decluttering and Organizing,Nonfiction,Three,16.77,In stock,16
The Gutsy Girl Escapades for Your Life of Epic Adventure,Nonfiction,One,37.13,In stock,16
The Electric Pencil Drawings from Inside State Hospital No. 3,Nonfiction,One,56.06,Out of stock,0
The Death of Humanity and the Case for Life,Philosophy,Four,58.11,In stock,16
"The Bulletproof Diet Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,Three,49.05,Out of stock,0
The Age of Genius The Seventeenth Century and the Birth of the Modern Mind,History,One,19.73,In stock,16
The Activist's Tao Te Ching Ancient Advice for a Modern Revolution,Spirituality,Five,32.24,Out of stock,0
Spark Joy An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,Four,41.83,Out of stock,0
Security,Horror,Two,39.25,In stock,16
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,Three,25.02,In stock,16
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,Two,51.04,Out of stock,0
Reskilling America Learning to Labor in the Twenty-First Century,Nonfiction,Two,19.83,In stock,16
"Rat Queens, Vol. 3 Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,Three,50.4,Out of stock,0
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,Five,13.61,In stock,16
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,Five,13.34,Out of stock,0
"Pop Gun War, Volume 1 Gift",Sequential Art,One,18.97,In stock,16
"Political Suicide Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,Two,36.28,In stock,16
Patience,Sequential Art,Three,10.16,In stock,16
"Outcast, Vol. 1 A Darkness Surrounds Him (Outcast #1)",Sequential Art,Four,15.44,Out of stock,0
orange The Complete Collection 1 (orange The Complete Collection #1),Sequential Art,One,48.41,Out of stock,0
Online Marketing for Busy Authors A Step-By-Step Guide,Self Help,One,46.35,Out of stock,0
My Paris Kitchen Recipes and Stories,Food and Drink,Two,33.37,Out of stock,0
Masks and Shadows,Fantasy,Two,56.4,In stock,16
"Mama Tried Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,Four,14.02,In stock,16
"Lumberjanes, Vol. 2 Friendship to the Max (Lumberjanes #5-8)",Sequential Art,Two,46.91,Out of stock,0
"Lumberjanes, Vol. 1 Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,Three,45.61,In stock,16
Lumberjanes Vol. 3 A Terrible Plan (Lumberjanes #9-12),Sequential Art,Two,19.92,In stock,16
"Layered Baking, Building, and Styling Spectacular Cakes",Food and Drink,One,40.11,In stock,16
Join,Science Fiction,Five,35.67,Out of stock,0
In the Country We Love My Family Divided,Nonfiction,Four,22,In stock,16
Immunity How Elie Metchnikoff Changed the Course of Modern Medicine,Science,Five,57.36,Out of stock,0
"I Hate Fairyland, Vol. 1 Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,Two,29.17,In stock,16
I am a Hero Omnibus Volume 1,Sequential Art,Three,54.63,In stock,16
How to Be Miserable 40 Strategies You Already Use,Self Help,One,46.03,Out of stock,0
Her Backup Boyfriend (The Sorensen Family #1),Romance,One,33.97,In stock,16
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,Two,22.11,In stock,16
Forever and Forever The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,Three,29.69,Out of stock,0
First and First (Five Boroughs #3),Romance,Four,15.97,Out of stock,0
Fifty Shades Darker (Fifty Shades #2),Romance,One,21.96,Out of stock,0
Everydata The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,Two,54.35,In stock,16
"Don't Be a Jerk And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,Two,37.97,In stock,16
Danganronpa Volume 1,Sequential Art,Four,51.99,In stock,16
Crown of Midnight (Throne of Glass #2),Fantasy,Three,43.29,In stock,16
"Codename Baboushka, Volume 1 The Conclave of Death",Sequential Art,Four,36.72,In stock,16
Camp Midnight,Sequential Art,Four,17.08,Out of stock,0
Call the Nurse True Stories of a Country Nurse on a Scottish Isle,Nonfiction,Five,29.14,Out of stock,0
"Bitch Planet, Vol. 1 Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,Two,37.92,Out of stock,0
"Avatar The Last Airbender Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,Two,28.09,In stock,16
Algorithms to Live By The Computer Science of Human Decisions,Nonfiction,One,30.81,Out of stock,0
A Murder in Time,Mystery,One,16.64,In stock,16
A Flight of Arrows (The Pathfinders #2),Historical Fiction,Five,55.53,In stock,16
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,One,52.37,Out of stock,0
(Un)Qualified How God Uses Broken People to Do Big Things,Christian,Five,54,In stock,16
You Are What You Love The Spiritual Power of Habit,Religion,Four,21.87,In stock,15
"William Shakespeare's Star Wars Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,Four,43.3,Out of stock,0
Tuesday Nights in 1980,Fiction,Two,21.04,In stock,15
Throne of Glass (Throne of Glass #1),Fantasy,Three,35.07,In stock,15
Thomas Jefferson and the Tripoli Pirates The Forgotten War That Changed American History,History,One,59.64,In stock,15
The White Cat and the Monk A Retelling of the Poem Pangur Bn,Childrens,Four,58.08,In stock,15
The Wedding Dress,Romance,One,24.12,Out of stock,0
The Vacationers,Fiction,Four,42.15,Out of stock,0
The Third Wave An Entrepreneurs Vision of the Future,Business,Five,12.61,In stock,15
The Stranger,Philosophy,Four,17.44,Out of stock,0
The Shadow Hero (The Shadow Hero),Sequential Art,One,33.14,Out of stock,0
The Regional Office Is Under Attack!,Fiction,Five,51.36,In stock,15
The Project,Science Fiction,One,10.65,Out of stock,0
The Power of Now A Guide to Spiritual Enlightenment,Nonfiction,Two,43.54,Out of stock,0
The Omnivore's Dilemma A Natural History of Four Meals,Nonfiction,Two,38.21,In stock,15
The Nerdy Nummies Cookbook Sweet Treats for the Geek in All of Us,Food and Drink,Five,37.34,In stock,15
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,Four,44.1,In stock,15
The Love and Lemons Cookbook An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,Two,37.6,In stock,15
The Long Shadow of Small Ghosts Murder and Memory in an American City,Crime,One,10.97,In stock,15
The House by the Lake,Historical Fiction,One,36.95,In stock,15
The Glittering Court (The Glittering Court #1),Fantasy,One,44.28,Out of stock,0
The Genius of Birds,Nonfiction,One,17.24,Out of stock,0
The Cookies  Cups Cookbook 125+ sweet  savory recipes reminding you to Always Eat Dessert First,Food and Drink,One,41.25,Out of stock,0
The Artist's Way A Spiritual Path to Higher Creativity,Nonfiction,Five,38.49,In stock,15
The Argonauts,Autobiography,Two,10.93,Out of stock,0
The 10 Entrepreneur Live Your Startup Dream Without Quitting Your Day Job,Business,Three,27.55,Out of stock,0
Suddenly in Love (Lake Haven #1),Romance,Two,55.99,Out of stock,0
Something More Than This,Romance,Four,16.24,In stock,15
Soft Apocalypse,Science Fiction,Two,26.12,Out of stock,0
So You've Been Publicly Shamed,Nonfiction,Two,12.23,In stock,15
Shoe Dog A Memoir by the Creator of NIKE,Business,Two,23.99,Out of stock,0
Redeeming Love,Christian Fiction,Five,20.47,In stock,15
Poems That Make Grown Women Cry,Poetry,Four,14.19,Out of stock,0
Night Sky with Exit Wounds,Poetry,One,41.05,In stock,15
Mrs. Houdini,Historical Fiction,Five,30.25,Out of stock,0
Louisa The Extraordinary Life of Mrs. Adams,Biography,Two,16.85,In stock,15
Little Red,Childrens,Three,13.47,In stock,15
Hollow City (Miss Peregrines Peculiar Children #2),Fantasy,One,42.98,Out of stock,0
Full Moon over Noahs Ark An Odyssey to Mount Ararat and Beyond,Travel,Four,49.43,Out of stock,0
Follow You Home,Horror,One,21.36,In stock,15
Finders Keepers (Bill Hodges Trilogy #2),Fiction,Five,53.53,Out of stock,0
"Fables, Vol. 1 Legends in Exile (Fables #1)",Sequential Art,Four,41.62,In stock,15
Doing It Over (Most Likely To #1),Romance,Three,35.61,In stock,15
"Deliciously Ella Every Day Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,Three,42.16,Out of stock,0
"Daring Greatly How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,Three,19.43,In stock,15
Close to You,Christian Fiction,Four,49.46,Out of stock,0
Chasing Heaven What Dying Taught Me About Living,Spirituality,Two,37.8,Out of stock,0
Big Magic Creative Living Beyond Fear,Nonfiction,Three,30.8,Out of stock,0
Becoming Wise An Inquiry into the Mystery and Art of Living,Nonfiction,Two,27.43,Out of stock,0
Batman The Long Halloween (Batman),Sequential Art,Two,36.5,Out of stock,0
Batman The Dark Knight Returns (Batman),Sequential Art,Five,15.38,In stock,15
Amid the Chaos,Cultural,One,36.58,Out of stock,0
Agnostic A Spirited Manifesto,Nonfiction,Five,12.51,Out of stock,0
Zealot The Life and Times of Jesus of Nazareth,History,Three,24.7,In stock,14
You (You #1),Thriller,Five,43.61,In stock,14
"Wonder Woman Earth One, Volume One (Wonder Woman Earth One #1)",Sequential Art,Four,37.34,In stock,14
Why the Right Went Wrong Conservatism--From Goldwater to the Tea Party and Beyond,Politics,Four,52.65,In stock,14
Whole Lotta Creativity Going On 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,Four,38.2,In stock,14
What's It Like in Space Stories from Astronauts Who've Been There,Nonfiction,Two,19.6,Out of stock,0
"We Are Robin, Vol. 1 The Vigilante Business (We Are Robin #1)",Sequential Art,One,53.9,Out of stock,0
Walt Disney's Alice in Wonderland,Childrens,Five,12.96,In stock,14
Twenty Yawns,Childrens,Two,22.08,Out of stock,0
Through the Woods,Sequential Art,Two,25.38,In stock,14
The Year of Magical Thinking,Nonfiction,Two,43.04,Out of stock,0
The Wedding Pact (The O'Malleys #2),Romance,Three,32.61,In stock,14
The Time Keeper,Fiction,Five,27.88,In stock,14
The Testament of Mary,Fiction,Four,52.67,In stock,14
The Star-Touched Queen,Fantasy,Five,46.02,Out of stock,0
The Marriage of Opposites,Historical Fiction,Four,28.08,Out of stock,0
The Lucifer Effect Understanding How Good People Turn Evil,Psychology,One,10.4,In stock,14
The Long Haul (Diary of a Wimpy Kid #9),Humor,One,44.07,In stock,14
The Loney,Horror,One,23.4,Out of stock,0
The Literature Book (Big Ideas Simply Explained),Nonfiction,Three,17.43,Out of stock,0
The Last Mile (Amos Decker #2),Mystery,Two,54.21,Out of stock,0
The Hidden Oracle (The Trials of Apollo #1),Fantasy,Two,52.26,Out of stock,0
The Help Yourself Cookbook for Kids 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Food and Drink,Three,28.77,Out of stock,0
The Guilty (Will Robie #4),Thriller,Two,13.82,In stock,14
The First Hostage (J.B. Collins #2),Fiction,Three,25.85,In stock,14
The Bane Chronicles (The Bane Chronicles #1-11),Fantasy,Four,44.73,Out of stock,0
The Bad-Ass Librarians of Timbuktu And Their Race to Save the Worlds Most Precious Manuscripts,Nonfiction,One,15.77,Out of stock,0
The 14th Colony (Cotton Malone #11),Thriller,One,39.24,Out of stock,0
That Darkness (Gardiner and Renner #1),Mystery,One,13.92,In stock,14
Tastes Like Fear (DI Marnie Rome #3),Mystery,One,10.69,In stock,14
Take Me with You,Fiction,Three,45.21,In stock,14
Swell A Year of Waves,Nonfiction,One,45.58,In stock,14
Superman Vol. 1 Before Truth (Superman by Gene Luen Yang #1),Sequential Art,Five,11.89,In stock,14
Still Life with Bread Crumbs,Fiction,Three,26.41,In stock,14
Sorting the Beef from the Bull The Science of Food Fraud Forensics,Science,Four,44.74,In stock,14
Someone Like You (The Harrisons #2),Contemporary,Five,52.79,In stock,14
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,Four,35.43,In stock,14
Shtum,Fiction,Four,55.84,Out of stock,0
See America A Celebration of Our National Parks  Treasured Sites,Travel,Three,48.87,In stock,14
salt.,Poetry,Four,46.78,In stock,14
Robin War,Sequential Art,Three,47.82,Out of stock,0
"Red HoodArsenal, Vol. 1 Open for Business (Red HoodArsenal #1)",Sequential Art,Two,25.48,Out of stock,0
Rain Fish,Childrens,Three,23.57,Out of stock,0
"Quarter Life Poetry Poems for the Young, Broke and Hangry",Poetry,Five,50.89,Out of stock,0
Pet Sematary,Horror,Three,10.56,Out of stock,0
"Overload How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Self Help,Three,52.15,In stock,14
Once Was a Time,Childrens,Two,18.28,Out of stock,0
Old School (Diary of a Wimpy Kid #10),Humor,Five,11.83,Out of stock,0
No Dream Is Too High Life Lessons From a Man Who Walked on the Moon,Nonfiction,Two,21.95,Out of stock,0
"Naruto (3-in-1 Edition), Vol. 14 Includes Vols. 40, 41  42 (Naruto Omnibus #14)",Sequential Art,Two,38.39,In stock,14
My Name Is Lucy Barton,Fiction,One,41.56,In stock,14
My Mrs. Brown,Fiction,Three,24.48,In stock,14
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,One,28.9,In stock,14
Made to Stick Why Some Ideas Survive and Others Die,Business,Five,38.85,Out of stock,0
Luis Paints the World,Childrens,Three,53.95,In stock,14
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,Two,51.51,Out of stock,0
Love Is a Mix Tape (Music #1),Music,One,18.03,Out of stock,0
Looking for Lovely Collecting the Moments that Matter,Nonfiction,Five,29.14,Out of stock,0
Let It Out A Journey Through Journaling,Nonfiction,Five,26.79,Out of stock,0
"It's All Easy Healthy, Delicious Weeknight Meals in under 30 Minutes",Food and Drink,One,19.55,In stock,14
Island of Dragons (Unwanteds #7),Fantasy,One,29.65,Out of stock,0
I Know What I'm Doing -- and Other Lies I Tell Myself Dispatches from a Life Under Construction,Humor,Four,25.98,In stock,14
I Am Pilgrim (Pilgrim #1),Fiction,Four,10.6,Out of stock,0
"Hyperbole and a Half Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Humor,Five,14.75,In stock,14
Hold Your Breath (Search and Rescue #1),Romance,One,28.82,In stock,14
Hamilton The Revolution,Nonfiction,Three,58.79,In stock,14
God The Most Unpleasant Character in All Fiction,Religion,Five,30.03,In stock,14
Glory over Everything Beyond The Kitchen House,Historical Fiction,Three,45.84,Out of stock,0
Feathers Displays of Brilliant Plumage,Art,Three,49.05,Out of stock,0
"Far  Away Places on the Brink of Change Seven Continents, Twenty-Five Years",Nonfiction,Four,15.06,In stock,14
Eligible (The Austen Project #4),Fiction,Three,27.09,Out of stock,0
El Deafo,Sequential Art,Five,57.62,Out of stock,0
Eight Hundred Grapes,Fiction,Four,14.39,In stock,14
"Eaternity More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,Five,51.75,In stock,14
"Eat Fat, Get Thin",Health,Two,54.07,In stock,14
Doctor Sleep (The Shining #2),Horror,Two,40.12,Out of stock,0
Demigods  Magicians Percy and Annabeth Meet the Kanes (Percy Jackson  Kane Chronicles Crossover #1-3),Fantasy,Five,37.51,Out of stock,0
Dear Mr. Knightley,Fiction,Five,11.21,Out of stock,0
Crazy Love Overwhelmed by a Relentless God,Christian,Two,47.72,In stock,14
Cometh the Hour (The Clifton Chronicles #6),Fiction,Three,25.01,In stock,14
City of Glass (The Mortal Instruments #3),Fantasy,Four,56.02,In stock,14
Buying In The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,Four,37.8,Out of stock,0
Brain on Fire My Month of Madness,Nonfiction,Five,49.32,Out of stock,0
Batman Europa,Sequential Art,Two,32.01,Out of stock,0
Barefoot Contessa Back to Basics,Food and Drink,One,28.01,Out of stock,0
Barefoot Contessa at Home Everyday Recipes You'll Make Over and Over Again,Food and Drink,Five,50.62,Out of stock,0
Balloon Animals,Fiction,Three,17.03,In stock,14
Art Ops Vol. 1,Sequential Art,Three,48.8,In stock,14
All the Light We Cannot See,Historical,Five,29.87,Out of stock,0
Adulthood Is a Myth A Sarah's Scribbles Collection,Sequential Art,Two,10.9,Out of stock,0
Abstract City,Nonfiction,Five,56.37,Out of stock,0
A Time of Torment (Charlie Parker #14),Mystery,Five,48.35,Out of stock,0
A Study in Scarlet (Sherlock Holmes #1),Mystery,Two,16.73,Out of stock,0
A Man Called Ove,Fiction,One,39.72,In stock,14
A Distant Mirror The Calamitous 14th Century,History,Three,14.58,Out of stock,0
1491 New Revelations of the Americas Before Columbus,History,Three,21.8,In stock,14
Searching for Meaning in Gailana,Fantasy,One,38.73,In stock,13
My Kitchen Year 136 Recipes That Saved My Life,Food and Drink,Two,11.53,Out of stock,0
13 Hours The Inside Account of What Really Happened In Benghazi,Nonfiction,One,27.06,Out of stock,0
Tipping Point for Planet Earth How Close Are We to the Edge,Science,One,37.55,Out of stock,0
The Star-Touched Queen,Fantasy,Five,32.3,Out of stock,0
The Silent Sister (Riley MacPherson #1),Fiction,Five,46.29,In stock,12
The Lonely City Adventures in the Art of Being Alone,Nonfiction,Two,33.26,In stock,12
The Golden Condom And Other Essays on Love Lost and Found,Psychology,One,39.43,In stock,12
The Dinner Party,Fiction,Two,56.54,In stock,12
The Diary of a Young Girl,Nonfiction,Three,59.9,In stock,12
Snatched How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,Three,21.21,In stock,12
Quench Your Own Thirst Business Lessons Learned Over a Beer or Two,Business,One,43.14,In stock,12
Psycho Sanitarium (Psycho #1.5),Horror,Five,36.97,Out of stock,0
Poisonous (Max Revere Novels #3),Mystery,Three,26.8,Out of stock,0
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,Four,54.36,In stock,12
Most Wanted,Mystery,Three,35.28,In stock,12
"Love, Lies and Spies",Historical Fiction,Two,20.55,In stock,12
Hide Away (Eve Duncan #20),Mystery,One,11.84,In stock,12
Furiously Happy A Funny Book About Horrible Things,Nonfiction,Four,41.46,In stock,12
Everyday Italian 125 Simple and Delicious Recipes,Food and Drink,Five,20.1,In stock,12
Equal Is Unfair America's Misguided Fight Against Income Inequality,Politics,One,56.86,Out of stock,0
Dirty (Dive Bar #1),Romance,Four,40.83,In stock,12
Can You Keep a Secret (Fear Street Relaunch #4),Horror,One,48.64,In stock,12
Boar Island (Anna Pigeon #19),Mystery,Three,59.48,Out of stock,0
A Paris Apartment,Historical Fiction,Four,39.01,Out of stock,0
"A la Mode 120 Recipes in 60 Pairings Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",Food and Drink,One,38.77,In stock,12
The Widow,Mystery,Two,27.26,In stock,11
"The Sleep Revolution Transforming Your Life, One Night at a Time",Nonfiction,Four,11.68,Out of stock,0
The Improbability of Love,Fiction,One,59.45,Out of stock,0
The Art of Startup Fundraising,Business,Three,21,Out of stock,0
Take Me Home Tonight (Rock Star Romance #3),Romance,Three,53.98,Out of stock,0
Sleeping Giants (Themis Files #1),Science Fiction,One,48.74,In stock,11
"Setting the World on Fire The Brief, Astonishing Life of St. Catherine of Siena",Biography,Two,21.15,In stock,11
Playing with Fire,Mystery,Three,13.71,Out of stock,0
Off the Hook (Fishing for Trouble #1),Romance,Three,47.67,In stock,11
Mothering Sunday,Fiction,Two,13.34,Out of stock,0
"Mother, Can You Not",Nonfiction,Five,16.89,In stock,11
M Train,Autobiography,One,27.18,In stock,11
Lilac Girls,Historical Fiction,Two,17.28,Out of stock,0
Lies and Other Acts of Love,Fiction,One,45.14,Out of stock,0
Lab Girl,Autobiography,One,40.85,In stock,11
It Didn't Start with You How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Psychology,Three,56.27,In stock,11
Daredevils,Fiction,Three,16.34,Out of stock,0
Cravings Recipes for What You Want to Eat,Food and Drink,Three,20.5,In stock,11
Born for This How to Find the Work You Were Meant to Do,Business,Five,21.59,In stock,11
Arena,Science Fiction,Four,21.36,Out of stock,0
A Mother's Reckoning Living in the Aftermath of Tragedy,Nonfiction,Three,19.53,Out of stock,0
A Gentleman's Position (Society of Gentlemen #3),Romance,Five,14.75,In stock,11
11221963,Fiction,Three,48.48,Out of stock,0
"10 Happier How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Nonfiction,Two,24.57,Out of stock,0
10-Day Green Smoothie Cleanse Lose Up to 15 Pounds in 10 Days!,Health,Five,49.71,In stock,10
The Shack,Fiction,One,28.03,In stock,9
"The Moosewood Cookbook Recipes from Moosewood Restaurant, Ithaca, New York",Food and Drink,Four,12.34,Out of stock,0
"The Fabric of the Cosmos Space, Time, and the Texture of Reality",Science,One,55.91,In stock,9
The Book of Mormon,Religion,Three,24.57,Out of stock,0
The Art and Science of Low Carbohydrate Living,Health,Five,52.98,In stock,9
Suzie Snowflake One beautiful flake (a self-esteem story),Novels,Five,54.81,In stock,9
Nap-a-Roo,Childrens,One,25.08,In stock,9
If I Gave You God's Phone Number.... Searching for Spirituality in America,Spirituality,One,20.91,In stock,9
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,Four,33.95,In stock,9
Dress Your Family in Corduroy and Denim,Humor,Three,43.68,In stock,9
Chernobyl 012340 The Incredible True Story of the World's Worst Nuclear Disaster,Nonfiction,Two,35.92,Out of stock,0
Art and Fear Observations on the Perils (and Rewards) of Artmaking,Art,Four,48.63,Out of stock,0
A Shard of Ice (The Black Symphony Saga #1),Fantasy,Three,56.63,In stock,9
"Zero to One Notes on Startups, or How to Build the Future",Nonfiction,Three,34.06,In stock,8
Why Not Me,Nonfiction,One,17.76,In stock,8
When Breath Becomes Air,Nonfiction,Two,39.36,Out of stock,0
Vagabonding An Uncommon Guide to the Art of Long-Term World Travel,Travel,Two,36.94,Out of stock,0
The New Drawing on the Right Side of the Brain,Art,Three,43.02,Out of stock,0
"The Midnight Assassin Panic, Scandal, and the Hunt for America's First Serial Killer",Nonfiction,Four,28.45,In stock,8
The High Mountains of Portugal,Fiction,One,51.15,Out of stock,0
The Grownup,Short Stories,One,35.88,Out of stock,0
The E-Myth Revisited Why Most Small Businesses Don't Work and What to Do About It,Business,One,36.91,Out of stock,0
Smarter Faster Better The Secrets of Being Productive in Life and Business,Nonfiction,Five,38.89,In stock,8
Silence in the Dark (Logan Point #4),Suspense,Three,58.33,Out of stock,0
Shadows of the Past (Logan Point #1),Christian Fiction,Five,39.67,Out of stock,0
Roller Girl,Sequential Art,Five,14.1,In stock,8
Rising Strong,Nonfiction,Three,21.82,Out of stock,0
Proofs of God Classical Arguments from Tertullian to Barth,Philosophy,One,54.21,Out of stock,0
Please Kill Me The Uncensored Oral History of Punk,Music,Four,31.19,Out of stock,0
Out of Print City Lights Spotlight No. 14,Poetry,Five,53.64,In stock,8
Miller's Valley,Fiction,Two,58.54,In stock,8
Man's Search for Meaning,Nonfiction,Three,29.48,Out of stock,0
"Love That Boy What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Nonfiction,Two,25.06,In stock,8
Living Forward A Proven Plan to Stop Drifting and Get the Life You Want,Nonfiction,Three,12.55,In stock,8
Les Fleurs du Mal,Poetry,Five,29.04,In stock,8
Kill 'Em and Leave Searching for James Brown and the American Soul,Music,Five,45.05,Out of stock,0
Kierkegaard A Christian Missionary to Christians,Philosophy,One,47.13,Out of stock,0
I Will Find You,Nonfiction,One,44.21,Out of stock,0
Hystopia A Novel,Fiction,Four,21.96,In stock,8
Howl and Other Poems,Poetry,Two,40.45,Out of stock,0
History of Beauty,Art,Four,10.29,In stock,8
Diary of a Citizen Scientist Chasing Tiger Beetles and Other New Ways of Engaging the World,Science,One,28.41,Out of stock,0
Brilliant Beacons A History of the American Lighthouse,History,Three,11.45,In stock,8
