Name,Author,User rating,Reviews,Price,Year,Genre
American Sniper The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,7,15921,9,2015,Non Fiction
And the Mountains Echoed,Khaled Hosseini,4,12159,13,2013,Fiction
Arguing with Idiots How to Stop Small Minds and Big Government,Glenn Beck,7,798,5,2009,Non Fiction
Astrophysics for People in a Hurry,Neil deGrasse Tyson,8,9374,9,2017,Non Fiction
"Autobiography of Mark Twain, Vol. 1",Mark Twain,3,491,14,2010,Non Fiction
Baby Touch and Feel Animals,DK,7,5360,5,2015,Non Fiction
Balance (Angie's Extreme Stress Menders),Angie Grace,7,1909,11,2015,Non Fiction
Barefoot Contessa Foolproof Recipes You Can Trust A Cookbook,Ina Garten,9,1296,24,2012,Non Fiction
"Barefoot Contessa, How Easy Is That? Fabulous Recipes & Easy Tips",Ina Garten,8,615,21,2010,Non Fiction
Becoming,Michelle Obama,9,61133,11,2018,Non Fiction
Becoming,Michelle Obama,9,61133,11,2019,Non Fiction
Being Mortal Medicine and What Matters in the End,Atul Gawande,9,11113,15,2015,Non Fiction
Between the World and Me,Ta-Nehisi Coates,8,10070,13,2015,Non Fiction
Between the World and Me,Ta-Nehisi Coates,8,10070,13,2016,Non Fiction
Born to Run,Bruce Springsteen,8,3729,18,2016,Non Fiction
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,7,9769,13,2009,Fiction
"Broke The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,6,471,8,2010,Non Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,10,14344,5,2017,Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,10,14344,5,2019,Fiction
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,9,4505,0,2011,Fiction
Calm the Fck Down An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,7,10369,4,2016,Non Fiction
Can't Hurt Me Master Your Mind and Defy the Odds,David Goggins,9,16244,18,2019,Non Fiction
Capital in the Twenty First Century,Thomas Piketty,6,2884,28,2014,Non Fiction
Catching Fire (The Hunger Games),Suzanne Collins,8,22614,11,2010,Fiction
Catching Fire (The Hunger Games),Suzanne Collins,8,22614,11,2011,Fiction
Catching Fire (The Hunger Games),Suzanne Collins,8,22614,11,2012,Fiction
Cravings Recipes for All the Food You Want to Eat A Cookbook,Chrissy Teigen,8,4761,16,2016,Non Fiction
Crazy Love Overwhelmed by a Relentless God,Francis Chan,8,1542,14,2009,Non Fiction
Crazy Love Overwhelmed by a Relentless God,Francis Chan,8,1542,14,2010,Non Fiction
Crazy Love Overwhelmed by a Relentless God,Francis Chan,8,1542,14,2011,Non Fiction
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4,6143,8,2018,Fiction
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,9,4022,4,2015,Non Fiction
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,9,3871,5,2015,Non Fiction
Cutting for Stone,Abraham Verghese,7,4866,11,2010,Fiction
Cutting for Stone,Abraham Verghese,7,4866,11,2011,Fiction
"Daring Greatly How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",BreneÌ Brown,9,1329,10,2013,Non Fiction
"David and Goliath Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,5,4642,13,2013,Non Fiction
Dead And Gone A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,7,1541,4,2009,Fiction
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4,1924,8,2010,Fiction
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,3,2094,4,2011,Fiction
Dear Zoo A Lift-the-Flap Book,Rod Campbell,9,10922,5,2015,Fiction
Dear Zoo A Lift-the-Flap Book,Rod Campbell,9,10922,5,2016,Fiction
Dear Zoo A Lift-the-Flap Book,Rod Campbell,9,10922,5,2017,Fiction
Dear Zoo A Lift-the-Flap Book,Rod Campbell,9,10922,5,2018,Fiction
Decision Points,George W. Bush,7,2137,17,2010,Non Fiction
"Delivering Happiness A Path to Profits, Passion, and Purpose",Tony Hsieh,7,1651,15,2010,Non Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition DSM-5",American Psychiatric Association,6,6679,105,2013,Non Fiction
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition DSM-5",American Psychiatric Association,6,6679,105,2014,Non Fiction
"Diary of a Wimpy Kid Hard Luck, Book 8",Jeff Kinney,9,6812,0,2013,Fiction
Diary of a Wimpy Kid The Last Straw (Book 3),Jeff Kinney,9,3837,15,2009,Fiction
Diary of a Wimpy Kid The Long Haul,Jeff Kinney,9,6540,22,2014,Fiction
Difficult Riddles For Smart Kids 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,7,7955,5,2019,Non Fiction
Divergent,Veronica Roth,7,27098,15,2013,Fiction
Divergent,Veronica Roth,7,27098,15,2014,Fiction
Divergent / Insurgent,Veronica Roth,6,17684,6,2014,Fiction
"Divine Soul Mind Body Healing and Transmission System The Divine Way to Heal You, Humanity, Mother Earth, and All",Zhi Gang Sha,7,37,6,2009,Non Fiction
Doctor Sleep A Novel,Stephen King,8,15845,13,2013,Fiction
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,9,3181,12,2009,Fiction
Dog Man and Cat Kid From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,10,5062,6,2018,Fiction
Dog Man A Tale of Two Kitties From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,10,4786,8,2017,Fiction
Dog Man Brawl of the Wild From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,10,7235,4,2018,Fiction
Dog Man Brawl of the Wild From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,10,7235,4,2019,Fiction
Dog Man Fetch-22 From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,10,12619,8,2019,Fiction
Dog Man For Whom the Ball Rolls From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,10,9089,8,2019,Fiction
Dog Man Lord of the Fleas From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,10,5470,6,2018,Fiction
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,9,5118,20,2016,Fiction
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,7,2134,5,2015,Non Fiction
Drive The Surprising Truth About What Motivates Us,Daniel H. Pink,6,2525,16,2010,Non Fiction
Eat This Not That! Supermarket Survival Guide The No-Diet Weight Loss Solution,David Zinczenko,6,720,1,2009,Non Fiction
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4,956,14,2009,Non Fiction
"Eat to Live The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,6,6346,9,2011,Non Fiction
"Eat to Live The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,6,6346,9,2012,Non Fiction
Eclipse (Twilight Sagas),Stephenie Meyer,8,5505,7,2009,Fiction
Eclipse (Twilight),Stephenie Meyer,8,5505,18,2009,Fiction
Educated A Memoir,Tara Westover,8,28729,15,2018,Non Fiction
Educated A Memoir,Tara Westover,8,28729,15,2019,Non Fiction
"Enchanted Forest An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints",Johanna Basford,8,5413,9,2015,Non Fiction
Fahrenheit 451,Ray Bradbury,7,10721,8,2016,Fiction
Fahrenheit 451,Ray Bradbury,7,10721,8,2018,Fiction
Fantastic Beasts and Where to Find Them The Original Screenplay (Harry Potter),J.K. Rowling,8,4370,15,2016,Fiction
Fear Trump in the White House,Bob Woodward,5,6042,2,2018,Non Fiction
Fifty Shades Darker,E L James,5,23631,7,2012,Fiction
Fifty Shades Freed Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,6,20262,11,2012,Fiction
Fifty Shades of Grey Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,9,47265,14,2012,Fiction
Fifty Shades of Grey Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,9,47265,14,2013,Fiction
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,6,13964,32,2012,Fiction
Fire and Fury Inside the Trump White House,Michael Wolff,3,13677,6,2018,Non Fiction
First 100 Words,Roger Priddy,8,17323,4,2014,Non Fiction
First 100 Words,Roger Priddy,8,17323,4,2015,Non Fiction
First 100 Words,Roger Priddy,8,17323,4,2016,Non Fiction
First 100 Words,Roger Priddy,8,17323,4,2017,Non Fiction
First 100 Words,Roger Priddy,8,17323,4,2018,Non Fiction
Food Rules An Eater's Manual,Michael Pollan,5,1555,9,2010,Non Fiction
Frozen (Little Golden Book),RH Disney,8,3642,0,2014,Fiction
"Game Change Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,5,1215,9,2010,Non Fiction
Game of Thrones Boxed Set A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,7,5594,5,2011,Fiction
Game of Thrones Boxed Set A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,7,5594,5,2012,Fiction
Game of Thrones Boxed Set A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,7,5594,5,2013,Fiction
George Washington's Sacred Fire,Peter A. Lillback,6,408,20,2010,Non Fiction
George Washington's Secret Six The Spy Ring That Saved the American Revolution,Brian Kilmeade,7,4799,16,2013,Non Fiction
Giraffes Can't Dance,Giles Andreae,9,14038,4,2015,Fiction
Giraffes Can't Dance,Giles Andreae,9,14038,4,2016,Fiction
Giraffes Can't Dance,Giles Andreae,9,14038,4,2017,Fiction
Giraffes Can't Dance,Giles Andreae,9,14038,4,2018,Fiction
Giraffes Can't Dance,Giles Andreae,9,14038,4,2019,Fiction
"Girl, Stop Apologizing A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,7,7660,12,2019,Non Fiction
"Girl, Wash Your Face Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,7,22288,12,2018,Non Fiction
"Girl, Wash Your Face Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,7,22288,12,2019,Non Fiction
"Glenn Beck's Common Sense The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,7,1365,11,2009,Non Fiction
Go Set a Watchman A Novel,Harper Lee,7,14982,19,2015,Fiction
Going Rogue An American Life,Sarah Palin,7,1636,6,2009,Non Fiction
Gone Girl,Gillian Flynn,1,57271,10,2012,Fiction
Gone Girl,Gillian Flynn,1,57271,10,2013,Fiction
Gone Girl,Gillian Flynn,1,57271,9,2014,Fiction
Good Days Start With Gratitude A 52 Week Guide To Cultivate An Attitude Of Gratitude Gratitude Journal,Pretty Simple Press,7,10141,6,2019,Non Fiction
Good to Great Why Some Companies Make the Leap and Others Don't,Jim Collins,6,3457,14,2009,Non Fiction
Good to Great Why Some Companies Make the Leap and Others Don't,Jim Collins,6,3457,14,2010,Non Fiction
Good to Great Why Some Companies Make the Leap and Others Don't,Jim Collins,6,3457,14,2011,Non Fiction
Good to Great Why Some Companies Make the Leap and Others Don't,Jim Collins,6,3457,14,2012,Non Fiction
Goodnight Moon,Margaret Wise Brown,9,8837,5,2017,Fiction
Goodnight Moon,Margaret Wise Brown,9,8837,5,2018,Fiction
Goodnight Moon,Margaret Wise Brown,9,8837,5,2019,Fiction
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,10,7038,7,2012,Fiction
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,10,7038,7,2013,Fiction
"Grain Brain The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,7,5972,10,2014,Non Fiction
Grey Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,5,25624,14,2015,Fiction
Guts,Raina Telgemeier,9,5476,7,2019,Non Fiction
Hamilton The Revolution,Lin-Manuel Miranda,10,5867,54,2016,Non Fiction
"Happy, Happy, Happy My Life and Legacy as the Duck Commander",Phil Robertson,9,4148,11,2013,Non Fiction
"Harry Potter and the Chamber of Secrets The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,10,19622,30,2016,Fiction
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,1,23973,12,2016,Fiction
"Harry Potter and the Goblet of Fire The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,10,7758,18,2019,Fiction
"Harry Potter and the Prisoner of Azkaban The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,10,3146,30,2017,Fiction
"Harry Potter and the Sorcerer's Stone The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,10,10052,22,2016,Fiction
Harry Potter Coloring Book,Scholastic,8,3564,9,2015,Non Fiction
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,9,13471,52,2016,Fiction
Have a Little Faith A True Story,Mitch Albom,9,1930,4,2009,Non Fiction
Heaven is for Real A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,8,15779,10,2011,Non Fiction
Heaven is for Real A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,8,15779,10,2012,Non Fiction
Hillbilly Elegy A Memoir of a Family and Culture in Crisis,J. D. Vance,5,15526,14,2016,Non Fiction
Hillbilly Elegy A Memoir of a Family and Culture in Crisis,J. D. Vance,5,15526,14,2017,Non Fiction
Homebody A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,9,3776,22,2018,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,8,25001,11,2014,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,8,25001,11,2015,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,8,25001,11,2016,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,8,25001,11,2017,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,8,25001,11,2018,Non Fiction
Howard Stern Comes Again,Howard Stern,4,5272,16,2019,Non Fiction
Humans of New York,Brandon Stanton,9,3490,15,2013,Non Fiction
Humans of New York,Brandon Stanton,9,3490,15,2014,Non Fiction
Humans of New York  Stories,Brandon Stanton,10,2812,17,2015,Non Fiction
"Hyperbole and a Half Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,8,4896,17,2013,Non Fiction
"I Am Confident, Brave & Beautiful A Coloring Book for Girls",Hopscotch Girls,9,9737,7,2019,Non Fiction
"I, Alex Cross",James Patterson,7,1320,7,2009,Fiction
If Animals Kissed Good Night,Ann Whitford Paul,9,16643,4,2017,Fiction
If Animals Kissed Good Night,Ann Whitford Paul,9,16643,4,2019,Fiction
If I Stay,Gayle Forman,4,7153,9,2014,Fiction
"In the Garden of Beasts Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,5,4571,21,2011,Non Fiction
Inferno,Dan Brown,2,29651,14,2013,Fiction
Inheritance Book IV (Inheritance Cycle),Christopher Paolini,7,5299,20,2011,Fiction
Instant Pot Pressure Cooker Cookbook 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy,Jennifer Smith,5,7396,13,2019,Non Fiction
Instant Pot Pressure Cooker Cookbook 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy,Jennifer Smith,5,7396,13,2018,Non Fiction
It's Not Supposed to Be This Way Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,9,7062,12,2019,Non Fiction
Jesus Calling Enjoying Peace in His Presence (with Scripture References),Sarah Young,10,19576,8,2011,Non Fiction
Jesus Calling Enjoying Peace in His Presence (with Scripture References),Sarah Young,10,19576,8,2012,Non Fiction
Jesus Calling Enjoying Peace in His Presence (with Scripture References),Sarah Young,10,19576,8,2013,Non Fiction
Jesus Calling Enjoying Peace in His Presence (with Scripture References),Sarah Young,10,19576,8,2014,Non Fiction
Jesus Calling Enjoying Peace in His Presence (with Scripture References),Sarah Young,10,19576,8,2015,Non Fiction
Jesus Calling Enjoying Peace in His Presence (with Scripture References),Sarah Young,10,19576,8,2016,Non Fiction
JOURNEY TO THE ICE P,RH Disney,7,978,0,2014,Fiction
Joyland (Hard Case Crime),Stephen King,6,4748,12,2013,Fiction
Killers of the Flower Moon The Osage Murders and the Birth of the FBI,David Grann,7,8393,17,2017,Non Fiction
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,6,11391,12,2013,Non Fiction
Killing Kennedy The End of Camelot,Bill O'Reilly,7,8634,25,2012,Non Fiction
Killing Lincoln The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,8,9342,10,2011,Non Fiction
Killing Lincoln The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,8,9342,10,2012,Non Fiction
Killing Patton The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,7,10927,6,2014,Non Fiction
Killing Reagan The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,7,5235,5,2015,Non Fiction
Killing the Rising Sun How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,9,8916,6,2016,Non Fiction
Kitchen Confidential Updated Edition Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,9,2507,8,2018,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,6,3673,4,2013,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,6,3673,4,2014,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,6,3673,4,2015,Non Fiction
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,10,11881,13,2018,Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,7,6990,4,2013,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,7,6990,4,2014,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,7,6990,4,2015,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,7,6990,4,2016,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,7,6990,4,2017,Non Fiction
"Lean In Women, Work, and the Will to Lead",Sheryl Sandberg,6,6132,13,2013,Non Fiction
Leonardo da Vinci,Walter Isaacson,6,3014,21,2017,Non Fiction
Lettering and Modern Calligraphy A Beginner's Guide Learn Hand Lettering and Brush Lettering,Paper Peony Press,5,7550,6,2018,Non Fiction
Liberty and Tyranny A Conservative Manifesto,Mark R. Levin,9,3828,15,2009,Non Fiction
Life,Keith Richards,6,2752,18,2010,Non Fiction
Little Bee A Novel,Chris Cleave,2,1467,10,2010,Fiction
Little Blue Truck,Alice Schertle,10,1884,0,2014,Fiction
Little Fires Everywhere,Celeste Ng,6,25706,12,2018,Fiction
Looking for Alaska,John Green,6,8491,7,2014,Fiction
"Love Wins A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,3,1649,13,2011,Non Fiction
Love You Forever,Robert Munsch,9,18613,5,2014,Fiction
Love You Forever,Robert Munsch,9,18613,5,2015,Fiction
Magnolia Table A Collection of Recipes for Gathering,Joanna Gaines,9,9867,16,2018,Non Fiction
Make It Ahead A Barefoot Contessa Cookbook,Ina Garten,6,1386,20,2014,Non Fiction
Make Your Bed Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,8,10199,11,2017,Non Fiction
"Mastering the Art of French Cooking, Vol. 2",Julia Child,9,2926,27,2009,Non Fiction
Milk and Honey,Rupi Kaur,8,17739,8,2016,Non Fiction
Milk and Honey,Rupi Kaur,8,17739,8,2017,Non Fiction
Milk and Honey,Rupi Kaur,8,17739,8,2018,Non Fiction
Milk and Vine Inspirational Quotes From Classic Vines,Adam Gasiewski,5,3113,6,2017,Non Fiction
Mindset The New Psychology of Success,Carol S. Dweck,7,5542,10,2014,Non Fiction
Mindset The New Psychology of Success,Carol S. Dweck,7,5542,10,2015,Non Fiction
Mindset The New Psychology of Success,Carol S. Dweck,7,5542,10,2016,Non Fiction
Mockingjay (The Hunger Games),Suzanne Collins,6,26741,8,2010,Fiction
Mockingjay (The Hunger Games),Suzanne Collins,6,26741,8,2011,Fiction
Mockingjay (The Hunger Games),Suzanne Collins,6,26741,8,2012,Fiction
"National Geographic Kids Why? Over 1,111 Answers to Everything",Crispin Boyer,9,5347,16,2019,Non Fiction
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,9,7866,11,2019,Non Fiction
New Moon (The Twilight Saga),Stephenie Meyer,7,5680,10,2009,Fiction
Night (Night),Elie Wiesel,8,5178,9,2016,Non Fiction
No Easy Day The Autobiography of a Navy Seal The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,7,8093,14,2012,Non Fiction
Obama An Intimate Portrait,Pete Souza,10,3192,22,2017,Non Fiction
"Oh, the Places You'll Go!",Dr. Seuss,10,21834,8,2012,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,10,21834,8,2013,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,10,21834,8,2014,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,10,21834,8,2015,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,10,21834,8,2016,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,10,21834,8,2017,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,10,21834,8,2018,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,10,21834,8,2019,Fiction
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,9,6169,7,2015,Fiction
Olive Kitteridge,Elizabeth Strout,3,4519,12,2009,Fiction
One Thousand Gifts A Dare to Live Fully Right Where You Are,Ann Voskamp,7,3163,13,2011,Non Fiction
One Thousand Gifts A Dare to Live Fully Right Where You Are,Ann Voskamp,7,3163,13,2012,Non Fiction
"Option B Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,6,1831,9,2017,Non Fiction
Origin A Novel (Robert Langdon),Dan Brown,4,18904,13,2017,Fiction
Orphan Train,Christina Baker Kline,7,21930,11,2014,Fiction
Outliers The Story of Success,Malcolm Gladwell,7,10426,20,2009,Non Fiction
Outliers The Story of Success,Malcolm Gladwell,7,10426,20,2010,Non Fiction
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,8,10820,5,2018,Non Fiction
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,8,10820,5,2019,Non Fiction
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,9,548,2,2010,Fiction
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,9,16990,27,2017,Fiction
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,9,16990,27,2018,Fiction
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,9,16990,27,2019,Fiction
Pokmon Deluxe Essential Handbook The Need-to-Know Stats and Facts on Over 700 Pokmon,Scholastic,8,3503,9,2016,Fiction
Proof of Heaven A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4,13616,10,2012,Non Fiction
Proof of Heaven A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4,13616,10,2013,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,6,8580,46,2009,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,6,8580,46,2010,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,6,8580,46,2011,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,6,8580,46,2012,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,6,8580,46,2013,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,6,8580,46,2014,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,6,8580,46,2015,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,6,8580,46,2016,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,6,8580,46,2017,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,6,8580,46,2018,Non Fiction
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,9,4757,4,2017,Fiction
Quiet The Power of Introverts in a World That Can't Stop Talking,Susan Cain,7,10009,20,2012,Non Fiction
Quiet The Power of Introverts in a World That Can't Stop Talking,Susan Cain,7,10009,7,2013,Non Fiction
Radical Taking Back Your Faith from the American Dream,David Platt,8,1985,9,2010,Non Fiction
Radical Taking Back Your Faith from the American Dream,David Platt,8,1985,9,2011,Non Fiction
Ready Player One A Novel,Ernest Cline,7,22536,12,2017,Fiction
Ready Player One A Novel,Ernest Cline,7,22536,12,2018,Fiction
Rush Revere and the Brave Pilgrims Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,10,7150,12,2013,Fiction
Rush Revere and the First Patriots Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,10,3836,12,2014,Fiction
"Salt, Fat, Acid, Heat Mastering the Elements of Good Cooking",Samin Nosrat,9,7802,20,2018,Non Fiction
